iteration,node_count,no_intervention_pts,utility_type,calculation_method,metric,average_value,single_no
36,15,3,utility_2,multiply,kendall,0.4842105263157895,0.4825733347109152
48,15,2,utility_3,add,spearman,-0.2992481203007519,-0.29909290426984
26,15,4,utility_1,add,kendall,-0.07915594835766294,-0.07915574162046679
44,15,4,utility_2,add,kendall,0.031578947368421054,0.03157894527550118
17,15,4,utility_1,multiply,spearman,-0.013533834586466165,-0.01353383455619797
2,15,2,utility_1,add,spearman,0.06616541353383458,0.06616532911687249
33,15,2,utility_1,add,spearman,-0.11127819548872178,-0.11127706266276433
52,15,2,utility_1,multiply,spearman,0.06466165413533834,0.06466157888003143
13,15,3,utility_2,add,kendall,0.042105263157894736,0.04210525434062847
34,15,2,utility_1,add,kendall,0.2105263157894737,0.21049915247334955
10,15,3,utility_3,add,kendall,-0.06315789473684211,-0.06315782783021072
48,15,3,utility_1,multiply,spearman,0.2646616541353383,0.26457710268233425
32,15,3,utility_2,multiply,spearman,-0.1609022556390977,-0.1608951278128157
3,15,2,utility_1,add,spearman,0.6902255639097743,0.6813905138992802
17,15,4,utility_1,add,kendall,-0.09523809523809523,-0.09523757446636603
59,15,2,utility_2,add,spearman,0.11578947368421053,0.11578809231631905
57,15,4,utility_1,multiply,spearman,-0.007518796992481202,-0.0075187969908792765
19,15,4,utility_2,multiply,spearman,0.04210526315789473,0.042105254340628465
52,15,3,utility_2,multiply,kendall,-0.052631578947368425,-0.05263155204815639
34,15,3,utility_3,multiply,kendall,0.35789473684210527,0.3575199265861138
45,15,4,utility_3,multiply,spearman,-0.06616541353383458,-0.06616532911687249
48,15,3,utility_2,add,kendall,0.10526315789473685,0.10526229950600086
6,15,4,utility_2,add,kendall,-0.15789473684210525,-0.15788824863728226
32,15,4,utility_3,add,kendall,0.08421052631578947,0.08421024466370529
23,15,2,utility_3,multiply,kendall,0.17894736842105263,0.17893526584868608
54,15,2,utility_3,add,spearman,-0.2646616541353383,-0.26457710268233425
32,15,2,utility_1,multiply,kendall,0.16842105263157894,0.16841210378594335
55,15,3,utility_1,multiply,spearman,0.16541353383458643,0.16540535320241864
8,15,4,utility_2,add,spearman,0.37744360902255636,0.37695704565228083
11,15,4,utility_2,add,spearman,0.34736842105263155,0.3470447549552731
42,15,3,utility_3,multiply,kendall,-0.1368421052631579,-0.13683892627378003
59,15,3,utility_3,multiply,spearman,0.23759398496240602,0.2375444574357302
33,15,4,utility_3,add,spearman,-0.05413533834586466,-0.05413530737961733
36,15,4,utility_3,add,spearman,-0.1533834586466165,-0.15337784320837183
1,15,4,utility_2,add,kendall,-0.17894736842105263,-0.17893526584868608
45,15,3,utility_1,multiply,spearman,0.2827067669172932,0.28258957789767297
35,15,4,utility_2,multiply,kendall,-0.08421052631578947,-0.08421024466370529
47,15,4,utility_2,add,kendall,0.24210526315789474,0.2420508915531183
3,15,3,utility_3,multiply,spearman,0.26917293233082706,0.26908100021780657
60,15,2,utility_2,add,spearman,0.3714285714285714,0.37097886212590114
