ID_REF,GSM473654,GSM473655,GSM473656,GSM473657,GSM473658,GSM473659,GSM473660,GSM473661,GSM473662,GSM473663,GSM473664,GSM473665
248034_at,1020.6,1002.7,1020.1,820.8,895.2,966.7,1000.3,878.5,920.9,606.3,712.7,756.3
248035_at,63.3,207.1,119.6,55.3,96.6,79.8,98.5,99.7,179.3,113.8,137.7,38.1
248036_at,443.4,252.4,125.4,703.6,612.9,399.6,498.8,414.9,36.1,614,527.5,381.8
248037_at,19.5,164.6,178.2,279.5,231.1,128.4,26.2,64.6,138.3,115.3,209.8,199
248038_at,13.9,52.4,98.6,31.3,47.7,17.5,54.1,6.3,24.3,13.4,50.3,28.5
248039_at,70,105.9,156.2,63.2,92.7,145,130.1,57,196.3,91.5,35.5,86.2
248040_at,246.2,244,280.6,127.4,94.2,140.7,124.6,180.7,312.8,72.2,137.6,152.6
248041_at,881.2,930.3,1237.4,1261.2,1058.7,859.2,781.1,942.7,781.1,1146.4,1118,1396.9
248042_at,1159.4,1054.6,1028.1,1005.6,1158.6,1075.1,1180,1366.9,1426.9,805.1,786.5,716
248043_s_at,4517.5,5653.6,4782.5,11272.9,12038.9,18623.8,5833.8,6335.1,3325.3,11720.8,14212.5,9402.2
248044_at,241.8,184.5,214.1,202.4,270,120.5,224.3,311.4,299.9,171.5,190.6,325.8
248045_at,1750.3,1998.6,1565,4963.9,5169.3,8585.6,2519.2,2187.9,2068.7,5239.1,6023.9,4551
248046_at,409,338.3,236.2,190.3,242.5,252.2,193.3,205.1,138.2,272.8,224.1,225.7
248047_at,14.2,126.6,18.9,6.8,36.6,59.9,72.4,6.4,45.2,72.5,23.9,83
248048_at,10.6,82.3,15.9,5.3,110.7,80.8,27,30.4,23.4,14,8.3,99.6
248049_at,130.1,130.4,136,376,447.5,363.2,224.1,188.2,163.2,333.9,378.3,245.9
248050_at,396.7,410.9,424.5,125.8,175.5,193.3,481.6,395.3,528.7,153.9,206.3,176.9
248051_at,13.2,70.6,13.2,37.4,5.4,65.2,36.2,32.5,156.8,7.1,26.3,104.2
248052_at,9.8,127.7,19.8,8.6,5.2,10.8,57.4,6.8,12.4,26.2,46.5,33.4
248053_at,19.9,132.1,229,63.5,32,156.3,115.8,74.4,19,45.7,12.4,75.4
248054_at,7.5,54.5,127.1,115.3,100.8,79.8,12.1,29.3,219.6,35.1,77.1,72.1
248055_at,5.6,10.1,69.6,23.7,3.4,13.5,80.2,7.8,11.2,3.5,101.3,27.4
248056_at,189,339,288.5,288.7,330.4,312.4,258.8,267.8,179.5,330.7,447.1,556.9
248057_at,45.2,123.2,92.7,100,5.8,130.6,66.7,76.4,28.9,81.8,6.7,6.1
248058_at,765.3,873.1,835.9,626.1,766.8,978.9,874.5,671.5,483.6,797.9,979.7,804.5
248059_at,453.8,378,481.6,314.8,321.4,380.9,551.8,416.6,404.8,350.8,308.5,280.5
248060_at,157.4,96.4,174.2,223.8,154.3,93.1,114.9,89.7,73.5,273.4,147.8,237.9
248061_at,10.5,21.3,117.7,92.2,97.8,197.9,67.7,94.4,42.6,50.5,70.3,108.8
248062_at,1061.9,824.4,774.3,4814.6,5414.2,4652,2206.2,1463.7,2064.8,7518.4,6349.6,7375.1
